Calculation1,City,Count,County/State/ Territory,Gender,School,Pivot Field Values
EXETER UNION HIGH SCHOOL50905,Exeter,Enr,Tulare,All,EXETER UNION HIGH SCHOOL,8
EXETER UNION HIGH SCHOOL50905,Exeter,Adm,Tulare,All,EXETER UNION HIGH SCHOOL,11
EXETER UNION HIGH SCHOOL50905,Exeter,App,Tulare,All,EXETER UNION HIGH SCHOOL,15
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,Enr,Los Angeles,Male,F BRAVO MEDICAL MAGNET HS,19
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,Adm,Los Angeles,Male,F BRAVO MEDICAL MAGNET HS,42
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,App,Los Angeles,Male,F BRAVO MEDICAL MAGNET HS,79
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,Enr,Los Angeles,Female,F BRAVO MEDICAL MAGNET HS,34
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,Adm,Los Angeles,Female,F BRAVO MEDICAL MAGNET HS,66
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,App,Los Angeles,Female,F BRAVO MEDICAL MAGNET HS,131
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,Enr,Los Angeles,All,F BRAVO MEDICAL MAGNET HS,53
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,Adm,Los Angeles,All,F BRAVO MEDICAL MAGNET HS,108
F BRAVO MEDICAL MAGNET HS51719,Los Angeles,App,Los Angeles,All,F BRAVO MEDICAL MAGNET HS,210
FAIRFAX HIGH SCHOOL51590,Los Angeles,Enr,Los Angeles,Male,FAIRFAX HIGH SCHOOL,26
FAIRFAX HIGH SCHOOL51590,Los Angeles,Adm,Los Angeles,Male,FAIRFAX HIGH SCHOOL,39
FAIRFAX HIGH SCHOOL51590,Los Angeles,App,Los Angeles,Male,FAIRFAX HIGH SCHOOL,74
FAIRFAX HIGH SCHOOL51590,Los Angeles,Enr,Los Angeles,Female,FAIRFAX HIGH SCHOOL,24
FAIRFAX HIGH SCHOOL51590,Los Angeles,Adm,Los Angeles,Female,FAIRFAX HIGH SCHOOL,48
FAIRFAX HIGH SCHOOL51590,Los Angeles,App,Los Angeles,Female,FAIRFAX HIGH SCHOOL,96
FAIRFAX HIGH SCHOOL51590,Los Angeles,Enr,Los Angeles,All,FAIRFAX HIGH SCHOOL,50
FAIRFAX HIGH SCHOOL51590,Los Angeles,Adm,Los Angeles,All,FAIRFAX HIGH SCHOOL,87
FAIRFAX HIGH SCHOOL51590,Los Angeles,App,Los Angeles,All,FAIRFAX HIGH SCHOOL,171
FAIRFIELD HIGH SCHOOL50911,Fairfield,Enr,Solano,Male,FAIRFIELD HIGH SCHOOL,4
FAIRFIELD HIGH SCHOOL50911,Fairfield,Adm,Solano,Male,FAIRFIELD HIGH SCHOOL,7
FAIRFIELD HIGH SCHOOL50911,Fairfield,App,Solano,Male,FAIRFIELD HIGH SCHOOL,13
FAIRFIELD HIGH SCHOOL50911,Fairfield,Adm,Solano,Female,FAIRFIELD HIGH SCHOOL,7
FAIRFIELD HIGH SCHOOL50911,Fairfield,App,Solano,Female,FAIRFIELD HIGH SCHOOL,12
FAIRFIELD HIGH SCHOOL50911,Fairfield,Enr,Solano,All,FAIRFIELD HIGH SCHOOL,6
FAIRFIELD HIGH SCHOOL50911,Fairfield,Adm,Solano,All,FAIRFIELD HIGH SCHOOL,14
FAIRFIELD HIGH SCHOOL50911,Fairfield,App,Solano,All,FAIRFIELD HIGH SCHOOL,25
FALL RIVER JUNIOR-SENIOR HS50926,Mcarthur,Adm,Shasta,Female,FALL RIVER JUNIOR-SENIOR HS,3
FALL RIVER JUNIOR-SENIOR HS50926,Mcarthur,Adm,Shasta,All,FALL RIVER JUNIOR-SENIOR HS,5
FALL RIVER JUNIOR-SENIOR HS50926,Mcarthur,App,Shasta,All,FALL RIVER JUNIOR-SENIOR HS,6
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,Enr,San Diego,Male,FALLBROOK UNION HIGH SCHOOL,5
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,Adm,San Diego,Male,FALLBROOK UNION HIGH SCHOOL,12
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,App,San Diego,Male,FALLBROOK UNION HIGH SCHOOL,20
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,Enr,San Diego,Female,FALLBROOK UNION HIGH SCHOOL,11
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,Adm,San Diego,Female,FALLBROOK UNION HIGH SCHOOL,15
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,App,San Diego,Female,FALLBROOK UNION HIGH SCHOOL,37
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,Enr,San Diego,All,FALLBROOK UNION HIGH SCHOOL,16
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,Adm,San Diego,All,FALLBROOK UNION HIGH SCHOOL,27
FALLBROOK UNION HIGH SCHOOL50925,Fallbrook,App,San Diego,All,FALLBROOK UNION HIGH SCHOOL,57
FARMERSVILLE HIGH SCHOOL50924,Farmersville,Adm,Tulare,Male,FARMERSVILLE HIGH SCHOOL,3
FARMERSVILLE HIGH SCHOOL50924,Farmersville,App,Tulare,Male,FARMERSVILLE HIGH SCHOOL,10
FARMERSVILLE HIGH SCHOOL50924,Farmersville,Adm,Tulare,Female,FARMERSVILLE HIGH SCHOOL,9
FARMERSVILLE HIGH SCHOOL50924,Farmersville,App,Tulare,Female,FARMERSVILLE HIGH SCHOOL,31
FARMERSVILLE HIGH SCHOOL50924,Farmersville,Adm,Tulare,All,FARMERSVILLE HIGH SCHOOL,12
FARMERSVILLE HIGH SCHOOL50924,Farmersville,App,Tulare,All,FARMERSVILLE HIGH SCHOOL,41
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,Enr,Los Angeles,Male,FELICITAS GONZALO MENDEZ HS,6
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,Adm,Los Angeles,Male,FELICITAS GONZALO MENDEZ HS,16
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,App,Los Angeles,Male,FELICITAS GONZALO MENDEZ HS,25
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,Enr,Los Angeles,Female,FELICITAS GONZALO MENDEZ HS,16
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,Adm,Los Angeles,Female,FELICITAS GONZALO MENDEZ HS,33
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,App,Los Angeles,Female,FELICITAS GONZALO MENDEZ HS,52
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,Enr,Los Angeles,All,FELICITAS GONZALO MENDEZ HS,23
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,Adm,Los Angeles,All,FELICITAS GONZALO MENDEZ HS,50
FELICITAS GONZALO MENDEZ HS54381,Los Angeles,App,Los Angeles,All,FELICITAS GONZALO MENDEZ HS,78
FILLMORE HIGH SCHOOL50935,Fillmore,Enr,Ventura,Male,FILLMORE HIGH SCHOOL,3
FILLMORE HIGH SCHOOL50935,Fillmore,Adm,Ventura,Male,FILLMORE HIGH SCHOOL,8
FILLMORE HIGH SCHOOL50935,Fillmore,App,Ventura,Male,FILLMORE HIGH SCHOOL,12
FILLMORE HIGH SCHOOL50935,Fillmore,Enr,Ventura,Female,FILLMORE HIGH SCHOOL,7
FILLMORE HIGH SCHOOL50935,Fillmore,Adm,Ventura,Female,FILLMORE HIGH SCHOOL,20
FILLMORE HIGH SCHOOL50935,Fillmore,App,Ventura,Female,FILLMORE HIGH SCHOOL,29
FILLMORE HIGH SCHOOL50935,Fillmore,Enr,Ventura,All,FILLMORE HIGH SCHOOL,10
FILLMORE HIGH SCHOOL50935,Fillmore,Adm,Ventura,All,FILLMORE HIGH SCHOOL,28
FILLMORE HIGH SCHOOL50935,Fillmore,App,Ventura,All,FILLMORE HIGH SCHOOL,41
FIREBAUGH HIGH SCHOOL50937,Firebaugh,Enr,Fresno,Female,FIREBAUGH HIGH SCHOOL,4
FIREBAUGH HIGH SCHOOL50937,Firebaugh,Adm,Fresno,Female,FIREBAUGH HIGH SCHOOL,8
FIREBAUGH HIGH SCHOOL50937,Firebaugh,App,Fresno,Female,FIREBAUGH HIGH SCHOOL,12
FIREBAUGH HIGH SCHOOL50937,Firebaugh,Enr,Fresno,All,FIREBAUGH HIGH SCHOOL,6
FIREBAUGH HIGH SCHOOL50937,Firebaugh,Adm,Fresno,All,FIREBAUGH HIGH SCHOOL,10
FIREBAUGH HIGH SCHOOL50937,Firebaugh,App,Fresno,All,FIREBAUGH HIGH SCHOOL,16
FLORIN HIGH SCHOOL52722,Sacramento,Enr,Sacramento,Male,FLORIN HIGH SCHOOL,5
FLORIN HIGH SCHOOL52722,Sacramento,Adm,Sacramento,Male,FLORIN HIGH SCHOOL,10
FLORIN HIGH SCHOOL52722,Sacramento,App,Sacramento,Male,FLORIN HIGH SCHOOL,18
FLORIN HIGH SCHOOL52722,Sacramento,Enr,Sacramento,Female,FLORIN HIGH SCHOOL,8
FLORIN HIGH SCHOOL52722,Sacramento,Adm,Sacramento,Female,FLORIN HIGH SCHOOL,17
FLORIN HIGH SCHOOL52722,Sacramento,App,Sacramento,Female,FLORIN HIGH SCHOOL,40
FLORIN HIGH SCHOOL52722,Sacramento,Enr,Sacramento,All,FLORIN HIGH SCHOOL,13
FLORIN HIGH SCHOOL52722,Sacramento,Adm,Sacramento,All,FLORIN HIGH SCHOOL,27
FLORIN HIGH SCHOOL52722,Sacramento,App,Sacramento,All,FLORIN HIGH SCHOOL,58
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,Enr,Fresno,Male,FLOYD B BUCHANAN HIGH SCHOOL,13
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,Adm,Fresno,Male,FLOYD B BUCHANAN HIGH SCHOOL,27
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,App,Fresno,Male,FLOYD B BUCHANAN HIGH SCHOOL,52
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,Enr,Fresno,Female,FLOYD B BUCHANAN HIGH SCHOOL,11
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,Adm,Fresno,Female,FLOYD B BUCHANAN HIGH SCHOOL,30
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,App,Fresno,Female,FLOYD B BUCHANAN HIGH SCHOOL,46
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,Enr,Fresno,All,FLOYD B BUCHANAN HIGH SCHOOL,24
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,Adm,Fresno,All,FLOYD B BUCHANAN HIGH SCHOOL,57
FLOYD B BUCHANAN HIGH SCHOOL50618,Clovis,App,Fresno,All,FLOYD B BUCHANAN HIGH SCHOOL,98
FOLSOM HIGH SCHOOL50940,Folsom,Enr,Sacramento,Male,FOLSOM HIGH SCHOOL,23
FOLSOM HIGH SCHOOL50940,Folsom,Adm,Sacramento,Male,FOLSOM HIGH SCHOOL,42
FOLSOM HIGH SCHOOL50940,Folsom,App,Sacramento,Male,FOLSOM HIGH SCHOOL,81
FOLSOM HIGH SCHOOL50940,Folsom,Enr,Sacramento,Female,FOLSOM HIGH SCHOOL,33
FOLSOM HIGH SCHOOL50940,Folsom,Adm,Sacramento,Female,FOLSOM HIGH SCHOOL,46
FOLSOM HIGH SCHOOL50940,Folsom,App,Sacramento,Female,FOLSOM HIGH SCHOOL,73
FOLSOM HIGH SCHOOL50940,Folsom,Enr,Sacramento,All,FOLSOM HIGH SCHOOL,56
FOLSOM HIGH SCHOOL50940,Folsom,Adm,Sacramento,All,FOLSOM HIGH SCHOOL,88
FOLSOM HIGH SCHOOL50940,Folsom,App,Sacramento,All,FOLSOM HIGH SCHOOL,154
FONTANA HIGH SCHOOL50945,Fontana,Enr,San Bernardino,Male,FONTANA HIGH SCHOOL,12
FONTANA HIGH SCHOOL50945,Fontana,Adm,San Bernardino,Male,FONTANA HIGH SCHOOL,31
FONTANA HIGH SCHOOL50945,Fontana,App,San Bernardino,Male,FONTANA HIGH SCHOOL,58
FONTANA HIGH SCHOOL50945,Fontana,Enr,San Bernardino,Female,FONTANA HIGH SCHOOL,23
FONTANA HIGH SCHOOL50945,Fontana,Adm,San Bernardino,Female,FONTANA HIGH SCHOOL,47
FONTANA HIGH SCHOOL50945,Fontana,App,San Bernardino,Female,FONTANA HIGH SCHOOL,94
FONTANA HIGH SCHOOL50945,Fontana,Enr,San Bernardino,All,FONTANA HIGH SCHOOL,35
FONTANA HIGH SCHOOL50945,Fontana,Adm,San Bernardino,All,FONTANA HIGH SCHOOL,78
FONTANA HIGH SCHOOL50945,Fontana,App,San Bernardino,All,FONTANA HIGH SCHOOL,152
FOOTHILL HIGH SCHOOL50213,Bakersfield,Enr,Kern,Male,FOOTHILL HIGH SCHOOL,3
FOOTHILL HIGH SCHOOL50213,Bakersfield,Adm,Kern,Male,FOOTHILL HIGH SCHOOL,7
FOOTHILL HIGH SCHOOL50213,Bakersfield,App,Kern,Male,FOOTHILL HIGH SCHOOL,14
FOOTHILL HIGH SCHOOL50213,Bakersfield,Enr,Kern,Female,FOOTHILL HIGH SCHOOL,11
FOOTHILL HIGH SCHOOL50213,Bakersfield,Adm,Kern,Female,FOOTHILL HIGH SCHOOL,21
FOOTHILL HIGH SCHOOL50213,Bakersfield,App,Kern,Female,FOOTHILL HIGH SCHOOL,30
FOOTHILL HIGH SCHOOL50213,Bakersfield,Enr,Kern,All,FOOTHILL HIGH SCHOOL,14
FOOTHILL HIGH SCHOOL50213,Bakersfield,Adm,Kern,All,FOOTHILL HIGH SCHOOL,28
FOOTHILL HIGH SCHOOL50213,Bakersfield,App,Kern,All,FOOTHILL HIGH SCHOOL,44
FOOTHILL HIGH SCHOOL52131,Sacramento,Enr,Sacramento,Male,FOOTHILL HIGH SCHOOL,7
FOOTHILL HIGH SCHOOL52131,Sacramento,Adm,Sacramento,Male,FOOTHILL HIGH SCHOOL,10
FOOTHILL HIGH SCHOOL52131,Sacramento,App,Sacramento,Male,FOOTHILL HIGH SCHOOL,12
FOOTHILL HIGH SCHOOL52131,Sacramento,Enr,Sacramento,Female,FOOTHILL HIGH SCHOOL,13
FOOTHILL HIGH SCHOOL52131,Sacramento,Adm,Sacramento,Female,FOOTHILL HIGH SCHOOL,14
FOOTHILL HIGH SCHOOL52131,Sacramento,App,Sacramento,Female,FOOTHILL HIGH SCHOOL,16
FOOTHILL HIGH SCHOOL52131,Sacramento,Enr,Sacramento,All,FOOTHILL HIGH SCHOOL,20
FOOTHILL HIGH SCHOOL52131,Sacramento,Adm,Sacramento,All,FOOTHILL HIGH SCHOOL,24
FOOTHILL HIGH SCHOOL52131,Sacramento,App,Sacramento,All,FOOTHILL HIGH SCHOOL,28
FOOTHILL HIGH SCHOOL52497,Pleasanton,Enr,Alameda,Male,FOOTHILL HIGH SCHOOL,47
FOOTHILL HIGH SCHOOL52497,Pleasanton,Adm,Alameda,Male,FOOTHILL HIGH SCHOOL,96
FOOTHILL HIGH SCHOOL52497,Pleasanton,App,Alameda,Male,FOOTHILL HIGH SCHOOL,125
FOOTHILL HIGH SCHOOL52497,Pleasanton,Enr,Alameda,Female,FOOTHILL HIGH SCHOOL,49
FOOTHILL HIGH SCHOOL52497,Pleasanton,Adm,Alameda,Female,FOOTHILL HIGH SCHOOL,95
FOOTHILL HIGH SCHOOL52497,Pleasanton,App,Alameda,Female,FOOTHILL HIGH SCHOOL,134
FOOTHILL HIGH SCHOOL52497,Pleasanton,Enr,Alameda,All,FOOTHILL HIGH SCHOOL,96
FOOTHILL HIGH SCHOOL52497,Pleasanton,Adm,Alameda,All,FOOTHILL HIGH SCHOOL,191
FOOTHILL HIGH SCHOOL52497,Pleasanton,App,Alameda,All,FOOTHILL HIGH SCHOOL,260
FOOTHILL HIGH SCHOOL52581,Palo Cedro,Enr,Shasta,Male,FOOTHILL HIGH SCHOOL,4
FOOTHILL HIGH SCHOOL52581,Palo Cedro,Adm,Shasta,Male,FOOTHILL HIGH SCHOOL,5
FOOTHILL HIGH SCHOOL52581,Palo Cedro,App,Shasta,Male,FOOTHILL HIGH SCHOOL,5
FOOTHILL HIGH SCHOOL52581,Palo Cedro,Enr,Shasta,Female,FOOTHILL HIGH SCHOOL,5
FOOTHILL HIGH SCHOOL52581,Palo Cedro,Adm,Shasta,Female,FOOTHILL HIGH SCHOOL,9
FOOTHILL HIGH SCHOOL52581,Palo Cedro,App,Shasta,Female,FOOTHILL HIGH SCHOOL,12
FOOTHILL HIGH SCHOOL52581,Palo Cedro,Enr,Shasta,All,FOOTHILL HIGH SCHOOL,9
FOOTHILL HIGH SCHOOL52581,Palo Cedro,Adm,Shasta,All,FOOTHILL HIGH SCHOOL,14
FOOTHILL HIGH SCHOOL52581,Palo Cedro,App,Shasta,All,FOOTHILL HIGH SCHOOL,17
FOOTHILL HIGH SCHOOL53234,Santa Ana,Enr,Orange,Male,FOOTHILL HIGH SCHOOL,19
FOOTHILL HIGH SCHOOL53234,Santa Ana,Adm,Orange,Male,FOOTHILL HIGH SCHOOL,39
FOOTHILL HIGH SCHOOL53234,Santa Ana,App,Orange,Male,FOOTHILL HIGH SCHOOL,62
FOOTHILL HIGH SCHOOL53234,Santa Ana,Enr,Orange,Female,FOOTHILL HIGH SCHOOL,33
FOOTHILL HIGH SCHOOL53234,Santa Ana,Adm,Orange,Female,FOOTHILL HIGH SCHOOL,58
FOOTHILL HIGH SCHOOL53234,Santa Ana,App,Orange,Female,FOOTHILL HIGH SCHOOL,88
FOOTHILL HIGH SCHOOL53234,Santa Ana,Enr,Orange,All,FOOTHILL HIGH SCHOOL,52
FOOTHILL HIGH SCHOOL53234,Santa Ana,Adm,Orange,All,FOOTHILL HIGH SCHOOL,97
FOOTHILL HIGH SCHOOL53234,Santa Ana,App,Orange,All,FOOTHILL HIGH SCHOOL,150
FOOTHILL TECHNOLOGY HS53691,Ventura,Enr,Ventura,Male,FOOTHILL TECHNOLOGY HS,6
FOOTHILL TECHNOLOGY HS53691,Ventura,Adm,Ventura,Male,FOOTHILL TECHNOLOGY HS,14
FOOTHILL TECHNOLOGY HS53691,Ventura,App,Ventura,Male,FOOTHILL TECHNOLOGY HS,34
FOOTHILL TECHNOLOGY HS53691,Ventura,Enr,Ventura,Female,FOOTHILL TECHNOLOGY HS,17
FOOTHILL TECHNOLOGY HS53691,Ventura,Adm,Ventura,Female,FOOTHILL TECHNOLOGY HS,29
FOOTHILL TECHNOLOGY HS53691,Ventura,App,Ventura,Female,FOOTHILL TECHNOLOGY HS,56
FOOTHILL TECHNOLOGY HS53691,Ventura,Enr,Ventura,All,FOOTHILL TECHNOLOGY HS,23
FOOTHILL TECHNOLOGY HS53691,Ventura,Adm,Ventura,All,FOOTHILL TECHNOLOGY HS,43
FOOTHILL TECHNOLOGY HS53691,Ventura,App,Ventura,All,FOOTHILL TECHNOLOGY HS,90
FOREST CHARTER SCHOOL52226,Nevada City,Enr,Nevada,Female,FOREST CHARTER SCHOOL,5
FOREST CHARTER SCHOOL52226,Nevada City,Adm,Nevada,Female,FOREST CHARTER SCHOOL,6
FOREST CHARTER SCHOOL52226,Nevada City,App,Nevada,Female,FOREST CHARTER SCHOOL,6
FOREST CHARTER SCHOOL52226,Nevada City,Enr,Nevada,All,FOREST CHARTER SCHOOL,5
FOREST CHARTER SCHOOL52226,Nevada City,Adm,Nevada,All,FOREST CHARTER SCHOOL,6
FOREST CHARTER SCHOOL52226,Nevada City,App,Nevada,All,FOREST CHARTER SCHOOL,7
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,Adm,Mendocino,Male,FORT BRAGG HIGH SCHOOL,4
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,App,Mendocino,Male,FORT BRAGG HIGH SCHOOL,10
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,Adm,Mendocino,Female,FORT BRAGG HIGH SCHOOL,7
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,App,Mendocino,Female,FORT BRAGG HIGH SCHOOL,20
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,Enr,Mendocino,All,FORT BRAGG HIGH SCHOOL,4
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,Adm,Mendocino,All,FORT BRAGG HIGH SCHOOL,11
FORT BRAGG HIGH SCHOOL50955,Fort Bragg,App,Mendocino,All,FORT BRAGG HIGH SCHOOL,30
FORTUNA UNION HIGH SCHOOL50965,Fortuna,Enr,Humboldt,Female,FORTUNA UNION HIGH SCHOOL,4
FORTUNA UNION HIGH SCHOOL50965,Fortuna,Adm,Humboldt,Female,FORTUNA UNION HIGH SCHOOL,6
FORTUNA UNION HIGH SCHOOL50965,Fortuna,App,Humboldt,Female,FORTUNA UNION HIGH SCHOOL,11
FORTUNA UNION HIGH SCHOOL50965,Fortuna,Enr,Humboldt,All,FORTUNA UNION HIGH SCHOOL,5
FORTUNA UNION HIGH SCHOOL50965,Fortuna,Adm,Humboldt,All,FORTUNA UNION HIGH SCHOOL,8
FORTUNA UNION HIGH SCHOOL50965,Fortuna,App,Humboldt,All,FORTUNA UNION HIGH SCHOOL,13
FOSHAY LEARNING CENTER51788,Los Angeles,Enr,Los Angeles,Male,FOSHAY LEARNING CENTER,6
FOSHAY LEARNING CENTER51788,Los Angeles,Adm,Los Angeles,Male,FOSHAY LEARNING CENTER,18
FOSHAY LEARNING CENTER51788,Los Angeles,App,Los Angeles,Male,FOSHAY LEARNING CENTER,26
FOSHAY LEARNING CENTER51788,Los Angeles,Enr,Los Angeles,Female,FOSHAY LEARNING CENTER,5
FOSHAY LEARNING CENTER51788,Los Angeles,Adm,Los Angeles,Female,FOSHAY LEARNING CENTER,25
FOSHAY LEARNING CENTER51788,Los Angeles,App,Los Angeles,Female,FOSHAY LEARNING CENTER,58
FOSHAY LEARNING CENTER51788,Los Angeles,Enr,Los Angeles,All,FOSHAY LEARNING CENTER,11
FOSHAY LEARNING CENTER51788,Los Angeles,Adm,Los Angeles,All,FOSHAY LEARNING CENTER,44
FOSHAY LEARNING CENTER51788,Los Angeles,App,Los Angeles,All,FOSHAY LEARNING CENTER,85
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,Enr,Orange,Male,FOUNTAIN VALLEY HIGH SCHOOL,71
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,Adm,Orange,Male,FOUNTAIN VALLEY HIGH SCHOOL,99
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,App,Orange,Male,FOUNTAIN VALLEY HIGH SCHOOL,159
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,Enr,Orange,Female,FOUNTAIN VALLEY HIGH SCHOOL,67
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,Adm,Orange,Female,FOUNTAIN VALLEY HIGH SCHOOL,121
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,App,Orange,Female,FOUNTAIN VALLEY HIGH SCHOOL,183
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,Enr,Orange,All,FOUNTAIN VALLEY HIGH SCHOOL,138
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,Adm,Orange,All,FOUNTAIN VALLEY HIGH SCHOOL,220
FOUNTAIN VALLEY HIGH SCHOOL50964,Fountain Valley,App,Orange,All,FOUNTAIN VALLEY HIGH SCHOOL,343
FOWLER HIGH SCHOOL50967,Fowler,Adm,Fresno,Male,FOWLER HIGH SCHOOL,4
FOWLER HIGH SCHOOL50967,Fowler,App,Fresno,Male,FOWLER HIGH SCHOOL,6
FOWLER HIGH SCHOOL50967,Fowler,Enr,Fresno,Female,FOWLER HIGH SCHOOL,5
FOWLER HIGH SCHOOL50967,Fowler,Adm,Fresno,Female,FOWLER HIGH SCHOOL,9
FOWLER HIGH SCHOOL50967,Fowler,App,Fresno,Female,FOWLER HIGH SCHOOL,12
FOWLER HIGH SCHOOL50967,Fowler,Enr,Fresno,All,FOWLER HIGH SCHOOL,5
FOWLER HIGH SCHOOL50967,Fowler,Adm,Fresno,All,FOWLER HIGH SCHOOL,13
FOWLER HIGH SCHOOL50967,Fowler,App,Fresno,All,FOWLER HIGH SCHOOL,18
FRANKLIN HIGH SCHOOL50824,Elk Grove,Enr,Sacramento,Male,FRANKLIN HIGH SCHOOL,36
FRANKLIN HIGH SCHOOL50824,Elk Grove,Adm,Sacramento,Male,FRANKLIN HIGH SCHOOL,54
FRANKLIN HIGH SCHOOL50824,Elk Grove,App,Sacramento,Male,FRANKLIN HIGH SCHOOL,91
FRANKLIN HIGH SCHOOL50824,Elk Grove,Enr,Sacramento,Female,FRANKLIN HIGH SCHOOL,46
FRANKLIN HIGH SCHOOL50824,Elk Grove,Adm,Sacramento,Female,FRANKLIN HIGH SCHOOL,85
FRANKLIN HIGH SCHOOL50824,Elk Grove,App,Sacramento,Female,FRANKLIN HIGH SCHOOL,123
FRANKLIN HIGH SCHOOL50824,Elk Grove,Enr,Sacramento,All,FRANKLIN HIGH SCHOOL,83
FRANKLIN HIGH SCHOOL50824,Elk Grove,Adm,Sacramento,All,FRANKLIN HIGH SCHOOL,141
FRANKLIN HIGH SCHOOL50824,Elk Grove,App,Sacramento,All,FRANKLIN HIGH SCHOOL,217
FRANKLIN HIGH SCHOOL53425,Stockton,Enr,San Joaquin,Male,FRANKLIN HIGH SCHOOL,8
FRANKLIN HIGH SCHOOL53425,Stockton,Adm,San Joaquin,Male,FRANKLIN HIGH SCHOOL,14
FRANKLIN HIGH SCHOOL53425,Stockton,App,San Joaquin,Male,FRANKLIN HIGH SCHOOL,20
FRANKLIN HIGH SCHOOL53425,Stockton,Enr,San Joaquin,Female,FRANKLIN HIGH SCHOOL,12
FRANKLIN HIGH SCHOOL53425,Stockton,Adm,San Joaquin,Female,FRANKLIN HIGH SCHOOL,16
FRANKLIN HIGH SCHOOL53425,Stockton,App,San Joaquin,Female,FRANKLIN HIGH SCHOOL,36
FRANKLIN HIGH SCHOOL53425,Stockton,Enr,San Joaquin,All,FRANKLIN HIGH SCHOOL,20
FRANKLIN HIGH SCHOOL53425,Stockton,Adm,San Joaquin,All,FRANKLIN HIGH SCHOOL,30
FRANKLIN HIGH SCHOOL53425,Stockton,App,San Joaquin,All,FRANKLIN HIGH SCHOOL,56
FRAZIER MOUNTAIN HIGH SCHOOL51416,Lebec,Enr,Kern,All,FRAZIER MOUNTAIN HIGH SCHOOL,3
FRAZIER MOUNTAIN HIGH SCHOOL51416,Lebec,Adm,Kern,All,FRAZIER MOUNTAIN HIGH SCHOOL,4
FRAZIER MOUNTAIN HIGH SCHOOL51416,Lebec,App,Kern,All,FRAZIER MOUNTAIN HIGH SCHOOL,7
FRED C BEYER HIGH SCHOOL51986,Modesto,Enr,Stanislaus,Male,FRED C BEYER HIGH SCHOOL,10
FRED C BEYER HIGH SCHOOL51986,Modesto,Adm,Stanislaus,Male,FRED C BEYER HIGH SCHOOL,16
FRED C BEYER HIGH SCHOOL51986,Modesto,App,Stanislaus,Male,FRED C BEYER HIGH SCHOOL,21
FRED C BEYER HIGH SCHOOL51986,Modesto,Enr,Stanislaus,Female,FRED C BEYER HIGH SCHOOL,10
FRED C BEYER HIGH SCHOOL51986,Modesto,Adm,Stanislaus,Female,FRED C BEYER HIGH SCHOOL,16
FRED C BEYER HIGH SCHOOL51986,Modesto,App,Stanislaus,Female,FRED C BEYER HIGH SCHOOL,20
FRED C BEYER HIGH SCHOOL51986,Modesto,Enr,Stanislaus,All,FRED C BEYER HIGH SCHOOL,20
FRED C BEYER HIGH SCHOOL51986,Modesto,Adm,Stanislaus,All,FRED C BEYER HIGH SCHOOL,32
