Calculation1,City,Count,County/State/ Territory,Gender,School,Pivot Field Values
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,App,Los Angeles,Female,ACADEMIA AVANCE CHARTER SCHOOL,9
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Enr,Los Angeles,All,ACADEMIA AVANCE CHARTER SCHOOL,4
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,Adm,Los Angeles,All,ACADEMIA AVANCE CHARTER SCHOOL,8
ACADEMIA AVANCE CHARTER SCHOOL54247,Los Angeles,App,Los Angeles,All,ACADEMIA AVANCE CHARTER SCHOOL,18
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Adm,Los Angeles,Male,ACADEMIC LEADERSHIP COMMUNITY,3
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,App,Los Angeles,Male,ACADEMIC LEADERSHIP COMMUNITY,8
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Enr,Los Angeles,Female,ACADEMIC LEADERSHIP COMMUNITY,11
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Adm,Los Angeles,Female,ACADEMIC LEADERSHIP COMMUNITY,17
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,App,Los Angeles,Female,ACADEMIC LEADERSHIP COMMUNITY,24
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Enr,Los Angeles,All,ACADEMIC LEADERSHIP COMMUNITY,13
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,Adm,Los Angeles,All,ACADEMIC LEADERSHIP COMMUNITY,20
ACADEMIC LEADERSHIP COMMUNITY54254,Los Angeles,App,Los Angeles,All,ACADEMIC LEADERSHIP COMMUNITY,33
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Enr,Los Angeles,Male,ACADEMIES EDUCATION/EMPOWERMNT,6
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Adm,Los Angeles,Male,ACADEMIES EDUCATION/EMPOWERMNT,13
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,App,Los Angeles,Male,ACADEMIES EDUCATION/EMPOWERMNT,24
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Enr,Los Angeles,Female,ACADEMIES EDUCATION/EMPOWERMNT,9
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Adm,Los Angeles,Female,ACADEMIES EDUCATION/EMPOWERMNT,14
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,App,Los Angeles,Female,ACADEMIES EDUCATION/EMPOWERMNT,25
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Enr,Los Angeles,All,ACADEMIES EDUCATION/EMPOWERMNT,15
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,Adm,Los Angeles,All,ACADEMIES EDUCATION/EMPOWERMNT,27
ACADEMIES EDUCATION/EMPOWERMNT54617,Carson,App,Los Angeles,All,ACADEMIES EDUCATION/EMPOWERMNT,49
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,App,San Bernardino,Male,ACADEMY OF CAREERS/EXPLORATION,6
ACADEMY OF CAREERS/EXPLORATION51123,Helendale,App,San Bernardino,All,ACADEMY OF CAREERS/EXPLORATION,8
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Enr,Los Angeles,Male,ACADEMY OF MEDICAL ARTS AT CARSON,4
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Adm,Los Angeles,Male,ACADEMY OF MEDICAL ARTS AT CARSON,6
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,App,Los Angeles,Male,ACADEMY OF MEDICAL ARTS AT CARSON,12
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Enr,Los Angeles,Female,ACADEMY OF MEDICAL ARTS AT CARSON,4
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Adm,Los Angeles,Female,ACADEMY OF MEDICAL ARTS AT CARSON,15
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,App,Los Angeles,Female,ACADEMY OF MEDICAL ARTS AT CARSON,25
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Enr,Los Angeles,All,ACADEMY OF MEDICAL ARTS AT CARSON,8
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,Adm,Los Angeles,All,ACADEMY OF MEDICAL ARTS AT CARSON,21
ACADEMY OF MEDICAL ARTS AT CARSON54618,Carson,App,Los Angeles,All,ACADEMY OF MEDICAL ARTS AT CARSON,37
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Enr,Los Angeles,Male,ACADEMY OF SCIENTIFIC EXPLORAT,3
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Adm,Los Angeles,Male,ACADEMY OF SCIENTIFIC EXPLORAT,5
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,App,Los Angeles,Male,ACADEMY OF SCIENTIFIC EXPLORAT,11
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Enr,Los Angeles,Female,ACADEMY OF SCIENTIFIC EXPLORAT,5
ACADEMY OF SCIENTIFIC EXPLORAT54563,San Fernando,Adm,Los Angeles,Female,ACADEMY OF SCIENTIFIC EXPLORAT,13
