Calculation1,City,County/State/Country,Measure Names,School,Measure Values
EL MODENA HIGH SCHOOL052276,Orange,Orange,Adm GPA,EL MODENA HIGH SCHOOL,91.599648958
EL MODENA HIGH SCHOOL052276,Orange,Orange,App GPA,EL MODENA HIGH SCHOOL,88.494403695
EL MOLINO HIGH SCHOOL050947,Forestville,Sonoma,Enrl GPA,EL MOLINO HIGH SCHOOL,88.526713163
EL MOLINO HIGH SCHOOL050947,Forestville,Sonoma,Adm GPA,EL MOLINO HIGH SCHOOL,92.345393778
EL MOLINO HIGH SCHOOL050947,Forestville,Sonoma,App GPA,EL MOLINO HIGH SCHOOL,89.895817613
EL MONTE HIGH SCHOOL050835,El Monte,Los Angeles,Enrl GPA,EL MONTE HIGH SCHOOL,90.422682984
EL MONTE HIGH SCHOOL050835,El Monte,Los Angeles,Adm GPA,EL MONTE HIGH SCHOOL,88.891691549
EL MONTE HIGH SCHOOL050835,El Monte,Los Angeles,App GPA,EL MONTE HIGH SCHOOL,84.662377057
EL PASO HIGH SCHOOL442220,El Paso,Texas,Enrl GPA,EL PASO HIGH SCHOOL,
EL PASO HIGH SCHOOL442220,El Paso,Texas,Adm GPA,EL PASO HIGH SCHOOL,8.366
EL PASO HIGH SCHOOL442220,El Paso,Texas,App GPA,EL PASO HIGH SCHOOL,12.136321429
EL RANCHO HIGH SCHOOL052655,Pico Rivera,Los Angeles,Enrl GPA,EL RANCHO HIGH SCHOOL,86.720150056
EL RANCHO HIGH SCHOOL052655,Pico Rivera,Los Angeles,Adm GPA,EL RANCHO HIGH SCHOOL,85.941809566
EL RANCHO HIGH SCHOOL052655,Pico Rivera,Los Angeles,App GPA,EL RANCHO HIGH SCHOOL,81.272292356
EL SEGUNDO HIGH SCHOOL050845,El Segundo,Los Angeles,Enrl GPA,EL SEGUNDO HIGH SCHOOL,92.251037037
EL SEGUNDO HIGH SCHOOL050845,El Segundo,Los Angeles,Adm GPA,EL SEGUNDO HIGH SCHOOL,91.380728365
EL SEGUNDO HIGH SCHOOL050845,El Segundo,Los Angeles,App GPA,EL SEGUNDO HIGH SCHOOL,88.475092119
EL SERENO HIGH SCHOOL052726,Fair Oaks,Sacramento,Enrl GPA,EL SERENO HIGH SCHOOL,
EL SERENO HIGH SCHOOL052726,Fair Oaks,Sacramento,Adm GPA,EL SERENO HIGH SCHOOL,4.14
EL SERENO HIGH SCHOOL052726,Fair Oaks,Sacramento,App GPA,EL SERENO HIGH SCHOOL,4.14
EL SOBRANTE CHRISTIAN HIGH SCH050896,El Sobrante,Contra Costa,Enrl GPA,EL SOBRANTE CHRISTIAN HIGH SCH,
EL SOBRANTE CHRISTIAN HIGH SCH050896,El Sobrante,Contra Costa,Adm GPA,EL SOBRANTE CHRISTIAN HIGH SCH,3.714
EL SOBRANTE CHRISTIAN HIGH SCH050896,El Sobrante,Contra Costa,App GPA,EL SOBRANTE CHRISTIAN HIGH SCH,10.513666667
EL TORO HIGH SCHOOL051974,Lake Forest,Orange,Enrl GPA,EL TORO HIGH SCHOOL,90.357980495
EL TORO HIGH SCHOOL051974,Lake Forest,Orange,Adm GPA,EL TORO HIGH SCHOOL,89.226872858
EL TORO HIGH SCHOOL051974,Lake Forest,Orange,App GPA,EL TORO HIGH SCHOOL,86.845331609
ELDORADO EMERSON PRIVATE SCH052277,Orange,Orange,Enrl GPA,ELDORADO EMERSON PRIVATE SCH,3.97
ELDORADO EMERSON PRIVATE SCH052277,Orange,Orange,Adm GPA,ELDORADO EMERSON PRIVATE SCH,22.788333333
ELDORADO EMERSON PRIVATE SCH052277,Orange,Orange,App GPA,ELDORADO EMERSON PRIVATE SCH,25.964916667
ELDORADO HIGH SCHOOL320009,Albuquerque,New Mexico,Enrl GPA,ELDORADO HIGH SCHOOL,
ELDORADO HIGH SCHOOL320009,Albuquerque,New Mexico,Adm GPA,ELDORADO HIGH SCHOOL,16.043619048
ELDORADO HIGH SCHOOL320009,Albuquerque,New Mexico,App GPA,ELDORADO HIGH SCHOOL,35.523317460
ELDORADO PRIVATE SCHOOL989969,Orange,Orange,Enrl GPA,ELDORADO PRIVATE SCHOOL,
ELDORADO PRIVATE SCHOOL989969,Orange,Orange,Adm GPA,ELDORADO PRIVATE SCHOOL,
ELDORADO PRIVATE SCHOOL989969,Orange,Orange,App GPA,ELDORADO PRIVATE SCHOOL,14.420583333
ELEANOR ROOSEVELT HIGH SCHOOL054078,Corona,Riverside,Enrl GPA,ELEANOR ROOSEVELT HIGH SCHOOL,11.214261364
ELEANOR ROOSEVELT HIGH SCHOOL054078,Corona,Riverside,Adm GPA,ELEANOR ROOSEVELT HIGH SCHOOL,11.191400196
ELEANOR ROOSEVELT HIGH SCHOOL054078,Corona,Riverside,App GPA,ELEANOR ROOSEVELT HIGH SCHOOL,10.771165119
ELEANOR ROOSEVELT HIGH SCHOOL054078,Eastvale,Riverside,Enrl GPA,ELEANOR ROOSEVELT HIGH SCHOOL,26.817177357
ELEANOR ROOSEVELT HIGH SCHOOL054078,Eastvale,Riverside,Adm GPA,ELEANOR ROOSEVELT HIGH SCHOOL,26.681585138
ELEANOR ROOSEVELT HIGH SCHOOL054078,Eastvale,Riverside,App GPA,ELEANOR ROOSEVELT HIGH SCHOOL,24.948986666
ELEANOR ROOSEVELT HIGH SCHOOL210597,Greenbelt,Maryland,Enrl GPA,ELEANOR ROOSEVELT HIGH SCHOOL,
ELEANOR ROOSEVELT HIGH SCHOOL210597,Greenbelt,Maryland,Adm GPA,ELEANOR ROOSEVELT HIGH SCHOOL,39.992142857
ELEANOR ROOSEVELT HIGH SCHOOL210597,Greenbelt,Maryland,App GPA,ELEANOR ROOSEVELT HIGH SCHOOL,82.086820656
ELEANOR ROOSEVELT HIGH SCHOOL333648,New York,New York,Enrl GPA,ELEANOR ROOSEVELT HIGH SCHOOL,
ELEANOR ROOSEVELT HIGH SCHOOL333648,New York,New York,Adm GPA,ELEANOR ROOSEVELT HIGH SCHOOL,15.7425
ELEANOR ROOSEVELT HIGH SCHOOL333648,New York,New York,App GPA,ELEANOR ROOSEVELT HIGH SCHOOL,22.738222222
ELGIN PARK SECONDARY SCHOOL821102,"n/a ",CANADA,Enrl GPA,ELGIN PARK SECONDARY SCHOOL,
ELGIN PARK SECONDARY SCHOOL821102,"n/a ",CANADA,Adm GPA,ELGIN PARK SECONDARY SCHOOL,3.815
ELGIN PARK SECONDARY SCHOOL821102,"n/a ",CANADA,App GPA,ELGIN PARK SECONDARY SCHOOL,7.587727273
ELISABETH IRWIN HIGH SCH-LREI333610,New York,New York,Enrl GPA,ELISABETH IRWIN HIGH SCH-LREI,
ELISABETH IRWIN HIGH SCH-LREI333610,New York,New York,Adm GPA,ELISABETH IRWIN HIGH SCH-LREI,
ELISABETH IRWIN HIGH SCH-LREI333610,New York,New York,App GPA,ELISABETH IRWIN HIGH SCH-LREI,3.746666667
ELISE P BUCKINGHAM CHRTR SCH053596,Vacaville,Solano,Enrl GPA,ELISE P BUCKINGHAM CHRTR SCH,32.374380952
ELISE P BUCKINGHAM CHRTR SCH053596,Vacaville,Solano,Adm GPA,ELISE P BUCKINGHAM CHRTR SCH,43.258633450
ELISE P BUCKINGHAM CHRTR SCH053596,Vacaville,Solano,App GPA,ELISE P BUCKINGHAM CHRTR SCH,45.085035071
ELIZABETH LEARNING CENTER050697,Cudahy,Los Angeles,Enrl GPA,ELIZABETH LEARNING CENTER,53.191110972
ELIZABETH LEARNING CENTER050697,Cudahy,Los Angeles,Adm GPA,ELIZABETH LEARNING CENTER,75.201018849
ELIZABETH LEARNING CENTER050697,Cudahy,Los Angeles,App GPA,ELIZABETH LEARNING CENTER,75.975156174
ELK GROVE HIGH SCHOOL050825,Elk Grove,Sacramento,Enrl GPA,ELK GROVE HIGH SCHOOL,93.095505843
ELK GROVE HIGH SCHOOL050825,Elk Grove,Sacramento,Adm GPA,ELK GROVE HIGH SCHOOL,92.439127961
ELK GROVE HIGH SCHOOL050825,Elk Grove,Sacramento,App GPA,ELK GROVE HIGH SCHOOL,89.560298791
ELKINS HIGH SCHOOL446782,Missouri City,Texas,Enrl GPA,ELKINS HIGH SCHOOL,
ELKINS HIGH SCHOOL446782,Missouri City,Texas,Adm GPA,ELKINS HIGH SCHOOL,8.266666667
ELKINS HIGH SCHOOL446782,Missouri City,Texas,App GPA,ELKINS HIGH SCHOOL,27.338166667
ELKO HIGH SCHOOL290045,Elko,Nevada,Enrl GPA,ELKO HIGH SCHOOL,
ELKO HIGH SCHOOL290045,Elko,Nevada,Adm GPA,ELKO HIGH SCHOOL,
ELKO HIGH SCHOOL290045,Elko,Nevada,App GPA,ELKO HIGH SCHOOL,3.965
ELLIS SCHOOL393695,Pittsburgh,Pennsylvania,Enrl GPA,ELLIS SCHOOL,
ELLIS SCHOOL393695,Pittsburgh,Pennsylvania,Adm GPA,ELLIS SCHOOL,
ELLIS SCHOOL393695,Pittsburgh,Pennsylvania,App GPA,ELLIS SCHOOL,3.606
ELSIE ALLEN HIGH SCHOOL053316,Santa Rosa,Sonoma,Enrl GPA,ELSIE ALLEN HIGH SCHOOL,44.887854090
ELSIE ALLEN HIGH SCHOOL053316,Santa Rosa,Sonoma,Adm GPA,ELSIE ALLEN HIGH SCHOOL,78.211982689
ELSIE ALLEN HIGH SCHOOL053316,Santa Rosa,Sonoma,App GPA,ELSIE ALLEN HIGH SCHOOL,75.194464584
ELSIK HIGH SCHOOL440078,Houston,Texas,Enrl GPA,ELSIK HIGH SCHOOL,
ELSIK HIGH SCHOOL440078,Houston,Texas,Adm GPA,ELSIK HIGH SCHOOL,4.148333333
ELSIK HIGH SCHOOL440078,Houston,Texas,App GPA,ELSIK HIGH SCHOOL,38.462760906
ELSINORE HIGH SCHOOL050855,Wildomar,Riverside,Enrl GPA,ELSINORE HIGH SCHOOL,86.768400154
ELSINORE HIGH SCHOOL050855,Wildomar,Riverside,Adm GPA,ELSINORE HIGH SCHOOL,90.811620223
ELSINORE HIGH SCHOOL050855,Wildomar,Riverside,App GPA,ELSINORE HIGH SCHOOL,87.538159021
EMERALD RIDGE HIGH SCHOOL481222,Puyallup,Washington,Enrl GPA,EMERALD RIDGE HIGH SCHOOL,
EMERALD RIDGE HIGH SCHOOL481222,Puyallup,Washington,Adm GPA,EMERALD RIDGE HIGH SCHOOL,
EMERALD RIDGE HIGH SCHOOL481222,Puyallup,Washington,App GPA,EMERALD RIDGE HIGH SCHOOL,7.702
EMERALD RIDGE HIGH SCHOOL481222,South Hill,Washington,Enrl GPA,EMERALD RIDGE HIGH SCHOOL,
EMERALD RIDGE HIGH SCHOOL481222,South Hill,Washington,Adm GPA,EMERALD RIDGE HIGH SCHOOL,12.282666667
EMERALD RIDGE HIGH SCHOOL481222,South Hill,Washington,App GPA,EMERALD RIDGE HIGH SCHOOL,24.056969697
EMERY SECONDARY SCHOOL050860,Emeryville,Alameda,Enrl GPA,EMERY SECONDARY SCHOOL,11.714333333
EMERY SECONDARY SCHOOL050860,Emeryville,Alameda,Adm GPA,EMERY SECONDARY SCHOOL,33.723944444
EMERY SECONDARY SCHOOL050860,Emeryville,Alameda,App GPA,EMERY SECONDARY SCHOOL,42.073915584
EMERY SECONDARY SCHOOL050860,Oakland,Alameda,Enrl GPA,EMERY SECONDARY SCHOOL,11.635333333
EMERY SECONDARY SCHOOL050860,Oakland,Alameda,Adm GPA,EMERY SECONDARY SCHOOL,15.713904762
EMERY SECONDARY SCHOOL050860,Oakland,Alameda,App GPA,EMERY SECONDARY SCHOOL,21.285476190
EMERY WEINER SCHOOL443539,Houston,Texas,Enrl GPA,EMERY WEINER SCHOOL,
EMERY WEINER SCHOOL443539,Houston,Texas,Adm GPA,EMERY WEINER SCHOOL,7.714333333
EMERY WEINER SCHOOL443539,Houston,Texas,App GPA,EMERY WEINER SCHOOL,10.9675
EMIRATES INTERNATIONAL SCHOOL697024,"n/a ",UNITED ARAB EMIRATES,Enrl GPA,EMIRATES INTERNATIONAL SCHOOL,
EMIRATES INTERNATIONAL SCHOOL697024,"n/a ",UNITED ARAB EMIRATES,Adm GPA,EMIRATES INTERNATIONAL SCHOOL,
EMIRATES INTERNATIONAL SCHOOL697024,"n/a ",UNITED ARAB EMIRATES,App GPA,EMIRATES INTERNATIONAL SCHOOL,7.078333333
EMIRATES INTRNTNL SCHL MEADOWS697030,"n/a ",UNITED ARAB EMIRATES,Enrl GPA,EMIRATES INTRNTNL SCHL MEADOWS,
EMIRATES INTRNTNL SCHL MEADOWS697030,"n/a ",UNITED ARAB EMIRATES,Adm GPA,EMIRATES INTRNTNL SCHL MEADOWS,
EMIRATES INTRNTNL SCHL MEADOWS697030,"n/a ",UNITED ARAB EMIRATES,App GPA,EMIRATES INTRNTNL SCHL MEADOWS,3.834
EMMA WILLARD SCHOOL335600,Troy,New York,Enrl GPA,EMMA WILLARD SCHOOL,
EMMA WILLARD SCHOOL335600,Troy,New York,Adm GPA,EMMA WILLARD SCHOOL,15.7125
EMMA WILLARD SCHOOL335600,Troy,New York,App GPA,EMMA WILLARD SCHOOL,47.316021825
EMMAUS HIGH SCHOOL391250,Emmaus,Pennsylvania,Enrl GPA,EMMAUS HIGH SCHOOL,
EMMAUS HIGH SCHOOL391250,Emmaus,Pennsylvania,Adm GPA,EMMAUS HIGH SCHOOL,
EMMAUS HIGH SCHOOL391250,Emmaus,Pennsylvania,App GPA,EMMAUS HIGH SCHOOL,3.768
ENCINA HIGH SCHOOL052716,Sacramento,Sacramento,Enrl GPA,ENCINA HIGH SCHOOL,26.285250916
ENCINA HIGH SCHOOL052716,Sacramento,Sacramento,Adm GPA,ENCINA HIGH SCHOOL,56.683534412
ENCINA HIGH SCHOOL052716,Sacramento,Sacramento,App GPA,ENCINA HIGH SCHOOL,69.717086563
ENCINAL HIGH SCHOOL050015,Alameda,Alameda,Enrl GPA,ENCINAL HIGH SCHOOL,90.436396450
ENCINAL HIGH SCHOOL050015,Alameda,Alameda,Adm GPA,ENCINAL HIGH SCHOOL,90.361653698
ENCINAL HIGH SCHOOL050015,Alameda,Alameda,App GPA,ENCINAL HIGH SCHOOL,86.157742191
ENCORE JR/SR HIGH SCHOOL054307,Hesperia,San Bernardino,Enrl GPA,ENCORE JR/SR HIGH SCHOOL,4.006666667
ENCORE JR/SR HIGH SCHOOL054307,Hesperia,San Bernardino,Adm GPA,ENCORE JR/SR HIGH SCHOOL,16.094857143
ENCORE JR/SR HIGH SCHOOL054307,Hesperia,San Bernardino,App GPA,ENCORE JR/SR HIGH SCHOOL,22.950031552
ENGINEERING & TECH ACAD AT THS054441,Los Angeles,Los Angeles,Enrl GPA,ENGINEERING & TECH ACAD AT THS,15.673142857
ENGINEERING & TECH ACAD AT THS054441,Los Angeles,Los Angeles,Adm GPA,ENGINEERING & TECH ACAD AT THS,19.226108989
ENGINEERING & TECH ACAD AT THS054441,Los Angeles,Los Angeles,App GPA,ENGINEERING & TECH ACAD AT THS,21.168645942
ENGLAND990018,"n/a ",ENGLAND,Enrl GPA,ENGLAND,7.1
ENGLAND990018,"n/a ",ENGLAND,Adm GPA,ENGLAND,52.079536935
ENGLAND990018,"n/a ",ENGLAND,App GPA,ENGLAND,79.813001288
ENGLISH SCHOOL668320,"n/a ",CYPRUS,Enrl GPA,ENGLISH SCHOOL,
ENGLISH SCHOOL668320,"n/a ",CYPRUS,Adm GPA,ENGLISH SCHOOL,
ENGLISH SCHOOL668320,"n/a ",CYPRUS,App GPA,ENGLISH SCHOOL,6.831333333
ENLOE MAGNET HIGH SCHOOL343210,Raleigh,North Carolina,Enrl GPA,ENLOE MAGNET HIGH SCHOOL,4.116666667
ENLOE MAGNET HIGH SCHOOL343210,Raleigh,North Carolina,Adm GPA,ENLOE MAGNET HIGH SCHOOL,32.314417388
ENLOE MAGNET HIGH SCHOOL343210,Raleigh,North Carolina,App GPA,ENLOE MAGNET HIGH SCHOOL,66.429139319
ENSWORTH HIGH SCHOOL431662,Nashville,Tennessee,Enrl GPA,ENSWORTH HIGH SCHOOL,
ENSWORTH HIGH SCHOOL431662,Nashville,Tennessee,Adm GPA,ENSWORTH HIGH SCHOOL,
ENSWORTH HIGH SCHOOL431662,Nashville,Tennessee,App GPA,ENSWORTH HIGH SCHOOL,14.910238095
ENTERPRISE HIGH SCHOOL052580,Redding,Shasta,Enrl GPA,ENTERPRISE HIGH SCHOOL,87.434624889
ENTERPRISE HIGH SCHOOL052580,Redding,Shasta,Adm GPA,ENTERPRISE HIGH SCHOOL,94.091710358
ENTERPRISE HIGH SCHOOL052580,Redding,Shasta,App GPA,ENTERPRISE HIGH SCHOOL,91.945335785
ENUMCLAW HIGH SCHOOL480375,Enumclaw,Washington,Enrl GPA,ENUMCLAW HIGH SCHOOL,
ENUMCLAW HIGH SCHOOL480375,Enumclaw,Washington,Adm GPA,ENUMCLAW HIGH SCHOOL,8.196
ENUMCLAW HIGH SCHOOL480375,Enumclaw,Washington,App GPA,ENUMCLAW HIGH SCHOOL,24.494333333
ENVIRON/SOC POLICY MAGNET HS054437,Los Angeles,Los Angeles,Enrl GPA,ENVIRON/SOC POLICY MAGNET HS,11.756666667
ENVIRON/SOC POLICY MAGNET HS054437,Los Angeles,Los Angeles,Adm GPA,ENVIRON/SOC POLICY MAGNET HS,15.147857143
ENVIRON/SOC POLICY MAGNET HS054437,Los Angeles,Los Angeles,App GPA,ENVIRON/SOC POLICY MAGNET HS,20.824364551
ENVIRONMENTAL CHARTER HS051472,Lawndale,Los Angeles,Enrl GPA,ENVIRONMENTAL CHARTER HS,33.280566725
ENVIRONMENTAL CHARTER HS051472,Lawndale,Los Angeles,Adm GPA,ENVIRONMENTAL CHARTER HS,44.182288442
ENVIRONMENTAL CHARTER HS051472,Lawndale,Los Angeles,App GPA,ENVIRONMENTAL CHARTER HS,46.021294417
ENVISION ACAD ARTS/TECHNOLOGY054285,Oakland,Alameda,Enrl GPA,ENVISION ACAD ARTS/TECHNOLOGY,14.431272727
ENVISION ACAD ARTS/TECHNOLOGY054285,Oakland,Alameda,Adm GPA,ENVISION ACAD ARTS/TECHNOLOGY,28.464767231
ENVISION ACAD ARTS/TECHNOLOGY054285,Oakland,Alameda,App GPA,ENVISION ACAD ARTS/TECHNOLOGY,27.526316017
EPISCOPAL ACADEMY393300,Newtown Square,Pennsylvania,Enrl GPA,EPISCOPAL ACADEMY,
EPISCOPAL ACADEMY393300,Newtown Square,Pennsylvania,Adm GPA,EPISCOPAL ACADEMY,3.735
EPISCOPAL ACADEMY393300,Newtown Square,Pennsylvania,App GPA,EPISCOPAL ACADEMY,11.244
EPISCOPAL HIGH SCHOOL190207,Baton Rouge,Louisiana,Enrl GPA,EPISCOPAL HIGH SCHOOL,
EPISCOPAL HIGH SCHOOL190207,Baton Rouge,Louisiana,Adm GPA,EPISCOPAL HIGH SCHOOL,
EPISCOPAL HIGH SCHOOL190207,Baton Rouge,Louisiana,App GPA,EPISCOPAL HIGH SCHOOL,4.10625
EPISCOPAL HIGH SCHOOL440561,Bellaire,Texas,Enrl GPA,EPISCOPAL HIGH SCHOOL,
EPISCOPAL HIGH SCHOOL440561,Bellaire,Texas,Adm GPA,EPISCOPAL HIGH SCHOOL,19.398
EPISCOPAL HIGH SCHOOL440561,Bellaire,Texas,App GPA,EPISCOPAL HIGH SCHOOL,30.393674242
EPISCOPAL HIGH SCHOOL470020,Alexandria,Virginia,Enrl GPA,EPISCOPAL HIGH SCHOOL,
EPISCOPAL HIGH SCHOOL470020,Alexandria,Virginia,Adm GPA,EPISCOPAL HIGH SCHOOL,20.235416667
EPISCOPAL HIGH SCHOOL470020,Alexandria,Virginia,App GPA,EPISCOPAL HIGH SCHOOL,26.793523810
EPISCOPAL SCHL JACKSONVILLE100761,Jacksonville,Florida,Enrl GPA,EPISCOPAL SCHL JACKSONVILLE,
EPISCOPAL SCHL JACKSONVILLE100761,Jacksonville,Florida,Adm GPA,EPISCOPAL SCHL JACKSONVILLE,3.81
EPISCOPAL SCHL JACKSONVILLE100761,Jacksonville,Florida,App GPA,EPISCOPAL SCHL JACKSONVILLE,7.52
EPISCOPAL SCHOOL LOS ANGELES054718,Los Angeles,Los Angeles,Enrl GPA,EPISCOPAL SCHOOL LOS ANGELES,
EPISCOPAL SCHOOL LOS ANGELES054718,Los Angeles,Los Angeles,Adm GPA,EPISCOPAL SCHOOL LOS ANGELES,3.69
EPISCOPAL SCHOOL LOS ANGELES054718,Los Angeles,Los Angeles,App GPA,EPISCOPAL SCHOOL LOS ANGELES,3.54375
EPISCOPAL SCHOOL OF DALLAS441734,Dallas,Texas,Enrl GPA,EPISCOPAL SCHOOL OF DALLAS,
EPISCOPAL SCHOOL OF DALLAS441734,Dallas,Texas,Adm GPA,EPISCOPAL SCHOOL OF DALLAS,7.565
EPISCOPAL SCHOOL OF DALLAS441734,Dallas,Texas,App GPA,EPISCOPAL SCHOOL OF DALLAS,32.582
ERIC HAMBER SECONDARY SCHOOL821430,"n/a ",CANADA,Enrl GPA,ERIC HAMBER SECONDARY SCHOOL,
ERIC HAMBER SECONDARY SCHOOL821430,"n/a ",CANADA,Adm GPA,ERIC HAMBER SECONDARY SCHOOL,
ERIC HAMBER SECONDARY SCHOOL821430,"n/a ",CANADA,App GPA,ERIC HAMBER SECONDARY SCHOOL,21.236726190
ERIE HIGH SCHOOL060545,Erie,Colorado,Enrl GPA,ERIE HIGH SCHOOL,
ERIE HIGH SCHOOL060545,Erie,Colorado,Adm GPA,ERIE HIGH SCHOOL,
ERIE HIGH SCHOOL060545,Erie,Colorado,App GPA,ERIE HIGH SCHOOL,3.898
ERNEST RIGHETTI HIGH SCHOOL053303,Santa Maria,Santa Barbara,Enrl GPA,ERNEST RIGHETTI HIGH SCHOOL,93.164648575
ERNEST RIGHETTI HIGH SCHOOL053303,Santa Maria,Santa Barbara,Adm GPA,ERNEST RIGHETTI HIGH SCHOOL,91.468254258
ERNEST RIGHETTI HIGH SCHOOL053303,Santa Maria,Santa Barbara,App GPA,ERNEST RIGHETTI HIGH SCHOOL,88.882834165
ERNEST S MCBRIDE SR HIGH SCHL054725,Long Beach,Los Angeles,Enrl GPA,ERNEST S MCBRIDE SR HIGH SCHL,4.247
ERNEST S MCBRIDE SR HIGH SCHL054725,Long Beach,Los Angeles,Adm GPA,ERNEST S MCBRIDE SR HIGH SCHL,4.153181818
ERNEST S MCBRIDE SR HIGH SCHL054725,Long Beach,Los Angeles,App GPA,ERNEST S MCBRIDE SR HIGH SCHL,3.939777778
ESCALON HIGH SCHOOL050870,Escalon,San Joaquin,Enrl GPA,ESCALON HIGH SCHOOL,69.524368742
ESCALON HIGH SCHOOL050870,Escalon,San Joaquin,Adm GPA,ESCALON HIGH SCHOOL,87.899995989
ESCALON HIGH SCHOOL050870,Escalon,San Joaquin,App GPA,ESCALON HIGH SCHOOL,85.768955039
ESCOLA AMER DO RIO DE JANEIRO910450,"n/a ",BRAZIL,Enrl GPA,ESCOLA AMER DO RIO DE JANEIRO,
ESCOLA AMER DO RIO DE JANEIRO910450,"n/a ",BRAZIL,Adm GPA,ESCOLA AMER DO RIO DE JANEIRO,11.452277778
ESCOLA AMER DO RIO DE JANEIRO910450,"n/a ",BRAZIL,App GPA,ESCOLA AMER DO RIO DE JANEIRO,28.048345238
ESCOLA GRADUADA DE SAO PAULO910650,"n/a ",BRAZIL,Enrl GPA,ESCOLA GRADUADA DE SAO PAULO,
ESCOLA GRADUADA DE SAO PAULO910650,"n/a ",BRAZIL,Adm GPA,ESCOLA GRADUADA DE SAO PAULO,19.4355
ESCOLA GRADUADA DE SAO PAULO910650,"n/a ",BRAZIL,App GPA,ESCOLA GRADUADA DE SAO PAULO,29.381062169
ESCOLA PAN AMERICANA DA BAHIA910580,"n/a ",BRAZIL,Enrl GPA,ESCOLA PAN AMERICANA DA BAHIA,
ESCOLA PAN AMERICANA DA BAHIA910580,"n/a ",BRAZIL,Adm GPA,ESCOLA PAN AMERICANA DA BAHIA,3.93375
ESCOLA PAN AMERICANA DA BAHIA910580,"n/a ",BRAZIL,App GPA,ESCOLA PAN AMERICANA DA BAHIA,11.167083333
ESCONDIDO ADVENTIST ACADEMY050879,Escondido,San Diego,Enrl GPA,ESCONDIDO ADVENTIST ACADEMY,
ESCONDIDO ADVENTIST ACADEMY050879,Escondido,San Diego,Adm GPA,ESCONDIDO ADVENTIST ACADEMY,3.853333333
ESCONDIDO ADVENTIST ACADEMY050879,Escondido,San Diego,App GPA,ESCONDIDO ADVENTIST ACADEMY,7.50425
ESCONDIDO CHARTER HIGH SCHOOL050871,Escondido,San Diego,Enrl GPA,ESCONDIDO CHARTER HIGH SCHOOL,58.875411957
ESCONDIDO CHARTER HIGH SCHOOL050871,Escondido,San Diego,Adm GPA,ESCONDIDO CHARTER HIGH SCHOOL,62.330219136
ESCONDIDO CHARTER HIGH SCHOOL050871,Escondido,San Diego,App GPA,ESCONDIDO CHARTER HIGH SCHOOL,63.980602925
ESCONDIDO HIGH SCHOOL050880,Escondido,San Diego,Enrl GPA,ESCONDIDO HIGH SCHOOL,92.000603093
ESCONDIDO HIGH SCHOOL050880,Escondido,San Diego,Adm GPA,ESCONDIDO HIGH SCHOOL,91.232469763
ESCONDIDO HIGH SCHOOL050880,Escondido,San Diego,App GPA,ESCONDIDO HIGH SCHOOL,87.385605461
ESCUELA CAMPO ALEGRE950290,Miami,Florida,Enrl GPA,ESCUELA CAMPO ALEGRE,
ESCUELA CAMPO ALEGRE950290,Miami,Florida,Adm GPA,ESCUELA CAMPO ALEGRE,
ESCUELA CAMPO ALEGRE950290,Miami,Florida,App GPA,ESCUELA CAMPO ALEGRE,15.482
ESCUELA CAMPO ALEGRE950290,"n/a ",,Enrl GPA,ESCUELA CAMPO ALEGRE,
ESCUELA CAMPO ALEGRE950290,"n/a ",,Adm GPA,ESCUELA CAMPO ALEGRE,3.795555556
ESCUELA CAMPO ALEGRE950290,"n/a ",,App GPA,ESCUELA CAMPO ALEGRE,3.726363636
ESPARTO HIGH SCHOOL050885,Esparto,Yolo,Enrl GPA,ESPARTO HIGH SCHOOL,15.11925
ESPARTO HIGH SCHOOL050885,Esparto,Yolo,Adm GPA,ESPARTO HIGH SCHOOL,52.004079365
ESPARTO HIGH SCHOOL050885,Esparto,Yolo,App GPA,ESPARTO HIGH SCHOOL,64.579730159
ESPERANZA HIGH SCHOOL050093,Anaheim,Orange,Enrl GPA,ESPERANZA HIGH SCHOOL,93.145841028
ESPERANZA HIGH SCHOOL050093,Anaheim,Orange,Adm GPA,ESPERANZA HIGH SCHOOL,92.203159886
ESPERANZA HIGH SCHOOL050093,Anaheim,Orange,App GPA,ESPERANZA HIGH SCHOOL,90.068733096
ESSEX HIGH SCHOOL460135,Essex Junction,Vermont,Enrl GPA,ESSEX HIGH SCHOOL,
ESSEX HIGH SCHOOL460135,Essex Junction,Vermont,Adm GPA,ESSEX HIGH SCHOOL,3.933333333
ESSEX HIGH SCHOOL460135,Essex Junction,Vermont,App GPA,ESSEX HIGH SCHOOL,12.079333333
ESTANCIA HIGH SCHOOL050684,Costa Mesa,Orange,Enrl GPA,ESTANCIA HIGH SCHOOL,89.603156607
ESTANCIA HIGH SCHOOL050684,Costa Mesa,Orange,Adm GPA,ESTANCIA HIGH SCHOOL,92.614879863
ESTANCIA HIGH SCHOOL050684,Costa Mesa,Orange,App GPA,ESTANCIA HIGH SCHOOL,89.143243513
ETHEL WALKER SCHOOL070670,Simsbury,Connecticut,Enrl GPA,ETHEL WALKER SCHOOL,
ETHEL WALKER SCHOOL070670,Simsbury,Connecticut,Adm GPA,ETHEL WALKER SCHOOL,
ETHEL WALKER SCHOOL070670,Simsbury,Connecticut,App GPA,ETHEL WALKER SCHOOL,7.267714286
ETHIOPIA990019,"n/a ",,Enrl GPA,ETHIOPIA,
