Calculation1,City,County/State/Country,Measure Names,School,Measure Values
ABRAHAM LINCOLN HIGH SCHOOL053075,San Jose,Santa Clara,App GPA,ABRAHAM LINCOLN HIGH SCHOOL,89.739721563
ABSEGAMI HIGH SCHOOL310759,Galloway,New Jersey,Enrl GPA,ABSEGAMI HIGH SCHOOL,
ABSEGAMI HIGH SCHOOL310759,Galloway,New Jersey,Adm GPA,ABSEGAMI HIGH SCHOOL,
ABSEGAMI HIGH SCHOOL310759,Galloway,New Jersey,App GPA,ABSEGAMI HIGH SCHOOL,7.852
ABU DHABI INDIAN SCHOOL697045,"n/a ",UNITED ARAB EMIRATES,Enrl GPA,ABU DHABI INDIAN SCHOOL,
ABU DHABI INDIAN SCHOOL697045,"n/a ",UNITED ARAB EMIRATES,Adm GPA,ABU DHABI INDIAN SCHOOL,3.864
ABU DHABI INDIAN SCHOOL697045,"n/a ",UNITED ARAB EMIRATES,App GPA,ABU DHABI INDIAN SCHOOL,3.842222222
ABU DHABI INTERNATIONAL SCHOOL697006,"n/a ",UNITED ARAB EMIRATES,Enrl GPA,ABU DHABI INTERNATIONAL SCHOOL,
ABU DHABI INTERNATIONAL SCHOOL697006,"n/a ",UNITED ARAB EMIRATES,Adm GPA,ABU DHABI INTERNATIONAL SCHOOL,
ABU DHABI INTERNATIONAL SCHOOL697006,"n/a ",UNITED ARAB EMIRATES,App GPA,ABU DHABI INTERNATIONAL SCHOOL,7.59125
ACACIAWOOD SCHOOL050381,Anaheim,Orange,Enrl GPA,ACACIAWOOD SCHOOL,19.304
ACACIAWOOD SCHOOL050381,Anaheim,Orange,Adm GPA,ACACIAWOOD SCHOOL,46.305634921
ACACIAWOOD SCHOOL050381,Anaheim,Orange,App GPA,ACACIAWOOD SCHOOL,61.435249278
ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Enrl GPA,ACAD FOR ACADEMIC EXCELLENCE,27.651555556
ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,Adm GPA,ACAD FOR ACADEMIC EXCELLENCE,47.548020785
ACAD FOR ACADEMIC EXCELLENCE050126,Apple Valley,San Bernardino,App GPA,ACAD FOR ACADEMIC EXCELLENCE,48.742428054
ACAD FOR CUL VIS TELE & PERF310451,Hackensack,New Jersey,Enrl GPA,ACAD FOR CUL VIS TELE & PERF,8.045428571
ACAD FOR CUL VIS TELE & PERF310451,Hackensack,New Jersey,Adm GPA,ACAD FOR CUL VIS TELE & PERF,19.823968254
ACAD FOR CUL VIS TELE & PERF310451,Hackensack,New Jersey,App GPA,ACAD FOR CUL VIS TELE & PERF,23.820511905
ACAD MATH SCIENCE ENGINEERING310274,Denville,New Jersey,Enrl GPA,ACAD MATH SCIENCE ENGINEERING,
ACAD MATH SCIENCE ENGINEERING310274,Denville,New Jersey,Adm GPA,ACAD MATH SCIENCE ENGINEERING,4.226666667
ACAD MATH SCIENCE ENGINEERING310274,Denville,New Jersey,App GPA,ACAD MATH SCIENCE ENGINEERING,16.395269841
