Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,Gender,School,Pivot Field Values
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,17
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2018,All,LPS OAKLAND R&D CAMPUS,26
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,4
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2017,Male,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,8
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,9
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2017,Female,LPS OAKLAND R&D CAMPUS,17
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,12
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,14
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2017,All,LPS OAKLAND R&D CAMPUS,23
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2016,Male,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,10
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,14
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2016,Female,LPS OAKLAND R&D CAMPUS,23
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,10
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,15
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2016,All,LPS OAKLAND R&D CAMPUS,28
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,5
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2015,Female,LPS OAKLAND R&D CAMPUS,11
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,6
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,8
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2015,All,LPS OAKLAND R&D CAMPUS,15
