Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,Gender,School,Pivot Field Values
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2016,All,OAKLAND HIGH SCHOOL,61
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2015,Male,OAKLAND HIGH SCHOOL,4
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2015,Male,OAKLAND HIGH SCHOOL,26
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2015,Female,OAKLAND HIGH SCHOOL,10
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2015,Female,OAKLAND HIGH SCHOOL,23
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2015,Female,OAKLAND HIGH SCHOOL,49
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2015,All,OAKLAND HIGH SCHOOL,10
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2015,All,OAKLAND HIGH SCHOOL,27
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2015,All,OAKLAND HIGH SCHOOL,75
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2014,Male,OAKLAND HIGH SCHOOL,4
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2014,Male,OAKLAND HIGH SCHOOL,6
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2014,Male,OAKLAND HIGH SCHOOL,33
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2014,Female,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2014,Female,OAKLAND HIGH SCHOOL,21
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2014,Female,OAKLAND HIGH SCHOOL,50
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2014,All,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2014,All,OAKLAND HIGH SCHOOL,27
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2014,All,OAKLAND HIGH SCHOOL,83
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2013,Male,OAKLAND HIGH SCHOOL,6
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2013,Male,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2013,Male,OAKLAND HIGH SCHOOL,39
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2013,Female,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2013,Female,OAKLAND HIGH SCHOOL,21
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2013,Female,OAKLAND HIGH SCHOOL,48
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2013,All,OAKLAND HIGH SCHOOL,14
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2013,All,OAKLAND HIGH SCHOOL,33
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2013,All,OAKLAND HIGH SCHOOL,87
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2012,Male,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2012,Male,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2012,Male,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2012,Female,OAKLAND HIGH SCHOOL,5
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2012,Female,OAKLAND HIGH SCHOOL,16
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2012,Female,OAKLAND HIGH SCHOOL,44
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2012,All,OAKLAND HIGH SCHOOL,13
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2012,All,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2012,All,OAKLAND HIGH SCHOOL,72
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2011,Male,OAKLAND HIGH SCHOOL,7
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2011,Male,OAKLAND HIGH SCHOOL,15
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2011,Male,OAKLAND HIGH SCHOOL,39
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2011,Female,OAKLAND HIGH SCHOOL,13
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2011,Female,OAKLAND HIGH SCHOOL,33
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2011,Female,OAKLAND HIGH SCHOOL,58
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2011,All,OAKLAND HIGH SCHOOL,20
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2011,All,OAKLAND HIGH SCHOOL,48
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2011,All,OAKLAND HIGH SCHOOL,97
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2010,Male,OAKLAND HIGH SCHOOL,11
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2010,Male,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2010,Male,OAKLAND HIGH SCHOOL,44
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2010,Female,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2010,Female,OAKLAND HIGH SCHOOL,26
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2010,Female,OAKLAND HIGH SCHOOL,59
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2010,All,OAKLAND HIGH SCHOOL,23
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2010,All,OAKLAND HIGH SCHOOL,45
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2010,All,OAKLAND HIGH SCHOOL,103
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2009,Male,OAKLAND HIGH SCHOOL,14
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2009,Male,OAKLAND HIGH SCHOOL,23
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2009,Male,OAKLAND HIGH SCHOOL,41
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2009,Female,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2009,Female,OAKLAND HIGH SCHOOL,32
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2009,Female,OAKLAND HIGH SCHOOL,51
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2009,All,OAKLAND HIGH SCHOOL,26
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2009,All,OAKLAND HIGH SCHOOL,55
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2009,All,OAKLAND HIGH SCHOOL,92
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2008,Male,OAKLAND HIGH SCHOOL,11
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2008,Male,OAKLAND HIGH SCHOOL,24
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2008,Male,OAKLAND HIGH SCHOOL,44
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2008,Female,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2008,Female,OAKLAND HIGH SCHOOL,41
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2008,Female,OAKLAND HIGH SCHOOL,73
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2008,All,OAKLAND HIGH SCHOOL,30
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2008,All,OAKLAND HIGH SCHOOL,65
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2008,All,OAKLAND HIGH SCHOOL,117
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2007,Male,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2007,Male,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2007,Male,OAKLAND HIGH SCHOOL,45
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2007,Female,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2007,Female,OAKLAND HIGH SCHOOL,56
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2007,Female,OAKLAND HIGH SCHOOL,65
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2007,All,OAKLAND HIGH SCHOOL,40
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2007,All,OAKLAND HIGH SCHOOL,84
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2007,All,OAKLAND HIGH SCHOOL,111
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2006,Male,OAKLAND HIGH SCHOOL,17
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2006,Male,OAKLAND HIGH SCHOOL,25
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2006,Male,OAKLAND HIGH SCHOOL,39
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2006,Female,OAKLAND HIGH SCHOOL,22
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2006,Female,OAKLAND HIGH SCHOOL,47
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2006,Female,OAKLAND HIGH SCHOOL,62
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2006,All,OAKLAND HIGH SCHOOL,39
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2006,All,OAKLAND HIGH SCHOOL,72
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2006,All,OAKLAND HIGH SCHOOL,101
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2005,Male,OAKLAND HIGH SCHOOL,10
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2005,Male,OAKLAND HIGH SCHOOL,21
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2005,Male,OAKLAND HIGH SCHOOL,34
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2005,Female,OAKLAND HIGH SCHOOL,16
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2005,Female,OAKLAND HIGH SCHOOL,29
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2005,Female,OAKLAND HIGH SCHOOL,41
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2005,All,OAKLAND HIGH SCHOOL,26
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2005,All,OAKLAND HIGH SCHOOL,50
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2005,All,OAKLAND HIGH SCHOOL,75
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2004,Male,OAKLAND HIGH SCHOOL,9
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2004,Male,OAKLAND HIGH SCHOOL,15
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2004,Male,OAKLAND HIGH SCHOOL,22
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2004,Female,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2004,Female,OAKLAND HIGH SCHOOL,33
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2004,Female,OAKLAND HIGH SCHOOL,54
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2004,All,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2004,All,OAKLAND HIGH SCHOOL,48
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2004,All,OAKLAND HIGH SCHOOL,76
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2003,Male,OAKLAND HIGH SCHOOL,10
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2003,Male,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2003,Male,OAKLAND HIGH SCHOOL,32
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2003,Female,OAKLAND HIGH SCHOOL,18
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2003,Female,OAKLAND HIGH SCHOOL,39
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2003,Female,OAKLAND HIGH SCHOOL,54
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2003,All,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2003,All,OAKLAND HIGH SCHOOL,58
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2003,All,OAKLAND HIGH SCHOOL,86
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2002,Male,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2002,Male,OAKLAND HIGH SCHOOL,21
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2002,Male,OAKLAND HIGH SCHOOL,29
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2002,Female,OAKLAND HIGH SCHOOL,7
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2002,Female,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2002,Female,OAKLAND HIGH SCHOOL,47
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2002,All,OAKLAND HIGH SCHOOL,15
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2002,All,OAKLAND HIGH SCHOOL,49
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2002,All,OAKLAND HIGH SCHOOL,76
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2001,Male,OAKLAND HIGH SCHOOL,3
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2001,Male,OAKLAND HIGH SCHOOL,13
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2001,Male,OAKLAND HIGH SCHOOL,27
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2001,Female,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2001,Female,OAKLAND HIGH SCHOOL,46
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2001,Female,OAKLAND HIGH SCHOOL,71
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2001,All,OAKLAND HIGH SCHOOL,11
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2001,All,OAKLAND HIGH SCHOOL,59
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2001,All,OAKLAND HIGH SCHOOL,98
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2000,Male,OAKLAND HIGH SCHOOL,10
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2000,Male,OAKLAND HIGH SCHOOL,18
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2000,Female,OAKLAND HIGH SCHOOL,3
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2000,Female,OAKLAND HIGH SCHOOL,14
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2000,Female,OAKLAND HIGH SCHOOL,34
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,2000,All,OAKLAND HIGH SCHOOL,4
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,2000,All,OAKLAND HIGH SCHOOL,24
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,2000,All,OAKLAND HIGH SCHOOL,52
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1999,Male,OAKLAND HIGH SCHOOL,11
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1999,Male,OAKLAND HIGH SCHOOL,20
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1999,Male,OAKLAND HIGH SCHOOL,32
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1999,Female,OAKLAND HIGH SCHOOL,6
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1999,Female,OAKLAND HIGH SCHOOL,32
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1999,Female,OAKLAND HIGH SCHOOL,54
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1999,All,OAKLAND HIGH SCHOOL,17
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1999,All,OAKLAND HIGH SCHOOL,52
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1999,All,OAKLAND HIGH SCHOOL,86
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1998,Male,OAKLAND HIGH SCHOOL,4
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1998,Male,OAKLAND HIGH SCHOOL,18
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1998,Male,OAKLAND HIGH SCHOOL,38
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1998,Female,OAKLAND HIGH SCHOOL,11
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1998,Female,OAKLAND HIGH SCHOOL,26
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1998,Female,OAKLAND HIGH SCHOOL,48
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1998,All,OAKLAND HIGH SCHOOL,15
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1998,All,OAKLAND HIGH SCHOOL,44
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1998,All,OAKLAND HIGH SCHOOL,87
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1997,Male,OAKLAND HIGH SCHOOL,7
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1997,Male,OAKLAND HIGH SCHOOL,15
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1997,Male,OAKLAND HIGH SCHOOL,25
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1997,Female,OAKLAND HIGH SCHOOL,9
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1997,Female,OAKLAND HIGH SCHOOL,24
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1997,Female,OAKLAND HIGH SCHOOL,38
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1997,All,OAKLAND HIGH SCHOOL,16
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1997,All,OAKLAND HIGH SCHOOL,39
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1997,All,OAKLAND HIGH SCHOOL,63
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1996,Male,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1996,Male,OAKLAND HIGH SCHOOL,16
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1996,Male,OAKLAND HIGH SCHOOL,28
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1996,Female,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1996,Female,OAKLAND HIGH SCHOOL,22
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1996,Female,OAKLAND HIGH SCHOOL,32
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1996,All,OAKLAND HIGH SCHOOL,16
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1996,All,OAKLAND HIGH SCHOOL,38
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1996,All,OAKLAND HIGH SCHOOL,60
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1995,Male,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1995,Male,OAKLAND HIGH SCHOOL,20
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1995,Male,OAKLAND HIGH SCHOOL,30
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1995,Female,OAKLAND HIGH SCHOOL,12
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1995,Female,OAKLAND HIGH SCHOOL,25
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1995,Female,OAKLAND HIGH SCHOOL,36
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1995,All,OAKLAND HIGH SCHOOL,24
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1995,All,OAKLAND HIGH SCHOOL,45
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1995,All,OAKLAND HIGH SCHOOL,66
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1994,Male,OAKLAND HIGH SCHOOL,9
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1994,Male,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1994,Male,OAKLAND HIGH SCHOOL,25
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1994,Female,OAKLAND HIGH SCHOOL,21
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1994,Female,OAKLAND HIGH SCHOOL,31
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1994,Female,OAKLAND HIGH SCHOOL,43
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Enr,Alameda,1994,All,OAKLAND HIGH SCHOOL,30
OAKLAND HIGH SCHOOL52225,Davis,Oakland,Adm,Alameda,1994,All,OAKLAND HIGH SCHOOL,50
OAKLAND HIGH SCHOOL52225,Davis,Oakland,App,Alameda,1994,All,OAKLAND HIGH SCHOOL,68
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2018,Male,OAKLAND HIGH SCHOOL,9
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2018,Male,OAKLAND HIGH SCHOOL,21
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2018,Female,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2018,Female,OAKLAND HIGH SCHOOL,34
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Enr,Alameda,2018,All,OAKLAND HIGH SCHOOL,3
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2018,All,OAKLAND HIGH SCHOOL,17
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2018,All,OAKLAND HIGH SCHOOL,55
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2016,Male,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2016,Female,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2016,Female,OAKLAND HIGH SCHOOL,31
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2016,All,OAKLAND HIGH SCHOOL,10
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2016,All,OAKLAND HIGH SCHOOL,50
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2015,Male,OAKLAND HIGH SCHOOL,5
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2015,Male,OAKLAND HIGH SCHOOL,20
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Enr,Alameda,2015,Female,OAKLAND HIGH SCHOOL,5
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2015,Female,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2015,Female,OAKLAND HIGH SCHOOL,45
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Enr,Alameda,2015,All,OAKLAND HIGH SCHOOL,6
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2015,All,OAKLAND HIGH SCHOOL,24
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2015,All,OAKLAND HIGH SCHOOL,65
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2013,Male,OAKLAND HIGH SCHOOL,4
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2013,Male,OAKLAND HIGH SCHOOL,26
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Enr,Alameda,2013,Female,OAKLAND HIGH SCHOOL,7
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2013,Female,OAKLAND HIGH SCHOOL,19
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2013,Female,OAKLAND HIGH SCHOOL,45
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Enr,Alameda,2013,All,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2013,All,OAKLAND HIGH SCHOOL,23
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2013,All,OAKLAND HIGH SCHOOL,71
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Enr,Alameda,2012,Male,OAKLAND HIGH SCHOOL,4
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,Adm,Alameda,2012,Male,OAKLAND HIGH SCHOOL,8
OAKLAND HIGH SCHOOL52225,Irvine,Oakland,App,Alameda,2012,Male,OAKLAND HIGH SCHOOL,18
