Calculation1,Campus,City,Count,County/State/ Territory,Fall Term,School,Uad Uc Ethn 6 Cat,Pivot Field Values
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,15
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,28
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,5
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,14
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,6
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,8
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,15
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Enr,Alameda,2014,LPS OAKLAND R&D CAMPUS,All,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,Adm,Alameda,2014,LPS OAKLAND R&D CAMPUS,All,7
LPS OAKLAND R&D CAMPUS54704,Universitywide,Oakland,App,Alameda,2014,LPS OAKLAND R&D CAMPUS,All,11
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2018,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,14
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Enr,Alameda,2018,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2018,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2018,LPS OAKLAND R&D CAMPUS,All,19
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,12
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,17
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,16
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Enr,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,Adm,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Berkeley,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,18
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,8
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,15
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,11
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,20
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,18
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,Adm,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,6
LPS OAKLAND R&D CAMPUS54704,Davis,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,19
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2018,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,4
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2018,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,12
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2018,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,18
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2018,LPS OAKLAND R&D CAMPUS,All,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2018,LPS OAKLAND R&D CAMPUS,All,15
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2018,LPS OAKLAND R&D CAMPUS,All,22
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,4
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,7
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,11
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,10
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,16
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,4
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,6
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2015,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,10
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Enr,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,5
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,Adm,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,7
LPS OAKLAND R&D CAMPUS54704,Merced,Oakland,App,Alameda,2015,LPS OAKLAND R&D CAMPUS,All,11
LPS OAKLAND R&D CAMPUS54704,Riverside,Oakland,Adm,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Riverside,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,5
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,13
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,Enr,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,Adm,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,3
LPS OAKLAND R&D CAMPUS54704,Santa Barbara,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,14
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,4
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,13
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,5
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2017,LPS OAKLAND R&D CAMPUS,All,18
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,Hispanic/ Latino,20
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,Adm,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,8
LPS OAKLAND R&D CAMPUS54704,Santa Cruz,Oakland,App,Alameda,2016,LPS OAKLAND R&D CAMPUS,All,21
